lib,sample_rate,dtype,duration,channels,n_samples,file_size_bytes,load_mean_ms,load_median_ms,load_std_ms,load_min_ms,load_p90_ms,save_mean_ms,save_median_ms,save_std_ms,save_min_ms,save_p90_ms,error
audio_samples,44100,f32,30.0,2,1323000,10584000,0.4357,0.3770,0.1500,0.3476,0.6531,0.5829,0.5635,0.0800,0.5330,0.6272,
librosa,44100,f32,30.0,2,1323000,10584000,0.4348,0.4000,0.1165,0.3745,0.4839,8.3689,8.2704,0.3628,8.0786,8.6652,
wave,44100,f32,30.0,2,1323000,10584000,,,,,,,,,,,wave does not support f32
scipy,44100,f32,30.0,2,1323000,10584000,0.5296,0.4890,0.1236,0.4422,0.6588,0.6123,0.5841,0.0990,0.5557,0.6812,
torchaudio,44100,f32,30.0,2,1323000,10584000,3.2269,3.1276,0.4523,2.6169,3.7222,2.9471,2.8584,0.3087,2.6641,3.2273,
audio_samples,44100,f32,60.0,1,2646000,10584000,0.3928,0.3525,0.1133,0.3333,0.4835,0.5788,0.5414,0.0907,0.5301,0.6445,
librosa,44100,f32,60.0,1,2646000,10584000,0.4204,0.3887,0.1165,0.3657,0.4792,8.4841,8.3410,0.4677,8.0619,8.9634,
wave,44100,f32,60.0,1,2646000,10584000,,,,,,,,,,,wave does not support f32
scipy,44100,f32,60.0,1,2646000,10584000,0.4906,0.4456,0.1187,0.4263,0.6085,0.6250,0.5958,0.0944,0.5534,0.6885,
torchaudio,44100,f32,60.0,1,2646000,10584000,3.5956,3.4555,0.4186,3.0688,4.0977,4.3055,4.2496,0.1902,4.0689,4.5794,
audio_samples,44100,f32,60.0,2,2646000,21168000,1.6962,1.5965,0.3358,1.3284,2.1815,2.1006,1.8691,0.6244,1.6421,2.7920,
librosa,44100,f32,60.0,2,2646000,21168000,1.7031,1.5765,0.3144,1.3682,2.1646,17.0853,16.9585,0.5824,16.3675,17.7593,
wave,44100,f32,60.0,2,2646000,21168000,,,,,,,,,,,wave does not support f32
scipy,44100,f32,60.0,2,2646000,21168000,1.9550,1.8212,0.4028,1.5140,2.4769,2.0304,1.9181,0.2741,1.7456,2.4380,
torchaudio,44100,f32,60.0,2,2646000,21168000,7.3470,7.2901,0.4883,6.5771,7.9247,6.6319,6.3303,0.6726,6.0732,7.4724,
