lib,sample_rate,dtype,duration,channels,n_samples,file_size_bytes,load_mean_ms,load_median_ms,load_std_ms,load_min_ms,load_p90_ms,save_mean_ms,save_median_ms,save_std_ms,save_min_ms,save_p90_ms,error
librosa,8000,f32,30.0,2,240000,1920000,0.0911,0.0822,0.0280,0.0797,0.1098,1.6235,1.5506,0.1868,1.4988,1.8657,
wave,8000,f32,30.0,2,240000,1920000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,30.0,2,240000,1920000,0.1383,0.1266,0.0325,0.1231,0.1569,0.0927,0.0872,0.0234,0.0856,0.0971,
torchaudio,8000,f32,30.0,2,240000,1920000,1.2650,1.1907,0.1946,1.1496,1.4041,0.5463,0.4964,0.0943,0.4825,0.6165,
audio_samples,8000,f32,60.0,1,480000,1920000,0.0762,0.0738,0.0196,0.0637,0.0847,0.0812,0.0778,0.0180,0.0771,0.0841,
librosa,8000,f32,60.0,1,480000,1920000,0.1063,0.1058,0.0266,0.0802,0.1235,1.7122,1.5460,0.3143,1.5158,2.3664,
wave,8000,f32,60.0,1,480000,1920000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,60.0,1,480000,1920000,0.1381,0.1363,0.0307,0.1225,0.1456,0.0953,0.0912,0.0300,0.0844,0.0953,
torchaudio,8000,f32,60.0,1,480000,1920000,1.8848,1.8649,0.0822,1.8207,1.9214,0.7788,0.7630,0.0408,0.7510,0.8204,
audio_samples,8000,f32,60.0,2,480000,3840000,0.1391,0.1308,0.0418,0.1231,0.1431,0.1683,0.1591,0.0441,0.1550,0.1716,
librosa,8000,f32,60.0,2,480000,3840000,0.1512,0.1419,0.0427,0.1393,0.1616,3.1242,3.0818,0.1428,3.0424,3.1878,
wave,8000,f32,60.0,2,480000,3840000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,60.0,2,480000,3840000,0.2223,0.2112,0.0526,0.1930,0.2568,0.1779,0.1644,0.0448,0.1615,0.1880,
torchaudio,8000,f32,60.0,2,480000,3840000,2.3109,2.2630,0.1696,2.1651,2.5009,1.0305,0.9760,0.1147,0.9432,1.1704,
audio_samples,16000,i16,1.0,1,16000,32000,0.0061,0.0052,0.0052,0.0049,0.0063,0.0044,0.0037,0.0035,0.0035,0.0044,
librosa,16000,i16,1.0,1,16000,32000,0.0226,0.0206,0.0145,0.0194,0.0227,0.0187,0.0170,0.0116,0.0164,0.0193,
wave,16000,i16,1.0,1,16000,32000,0.0076,0.0066,0.0058,0.0062,0.0082,0.0072,0.0065,0.0054,0.0062,0.0069,
scipy,16000,i16,1.0,1,16000,32000,0.0095,0.0084,0.0075,0.0082,0.0089,0.0095,0.0083,0.0076,0.0079,0.0102,
torchaudio,16000,i16,1.0,1,16000,32000,0.9913,0.9793,0.0600,0.9242,1.0392,0.0474,0.0430,0.0228,0.0423,0.0502,
audio_samples,16000,i16,1.0,2,16000,64000,0.0066,0.0060,0.0045,0.0059,0.0072,0.0058,0.0048,0.0060,0.0046,0.0063,
librosa,16000,i16,1.0,2,16000,64000,0.0239,0.0215,0.0157,0.0201,0.0244,0.0207,0.0186,0.0146,0.0176,0.0205,
wave,16000,i16,1.0,2,16000,64000,0.0085,0.0075,0.0064,0.0071,0.0093,0.0090,0.0079,0.0054,0.0075,0.0101,
scipy,16000,i16,1.0,2,16000,64000,0.0109,0.0098,0.0083,0.0095,0.0101,0.0107,0.0095,0.0089,0.0092,0.0104,
torchaudio,16000,i16,1.0,2,16000,64000,1.9294,1.8695,0.1988,1.7824,2.1346,0.0597,0.0504,0.0278,0.0477,0.0784,
audio_samples,16000,i16,5.0,1,80000,160000,0.0094,0.0083,0.0063,0.0081,0.0101,0.0091,0.0083,0.0047,0.0082,0.0086,
librosa,16000,i16,5.0,1,80000,160000,0.0252,0.0233,0.0138,0.0221,0.0248,0.0237,0.0219,0.0130,0.0213,0.0229,
wave,16000,i16,5.0,1,80000,160000,0.0116,0.0106,0.0084,0.0102,0.0110,0.0129,0.0115,0.0078,0.0112,0.0142,
scipy,16000,i16,5.0,1,80000,160000,0.0145,0.0131,0.0093,0.0127,0.0159,0.0145,0.0129,0.0101,0.0125,0.0154,
torchaudio,16000,i16,5.0,1,80000,160000,2.1186,2.0620,0.1949,1.9788,2.3168,0.1878,0.1738,0.0799,0.1479,0.2245,
audio_samples,16000,i16,5.0,2,80000,320000,0.0118,0.0109,0.0071,0.0105,0.0113,0.0158,0.0144,0.0066,0.0142,0.0176,
librosa,16000,i16,5.0,2,80000,320000,0.0329,0.0266,0.0176,0.0249,0.0422,0.0306,0.0281,0.0147,0.0275,0.0317,
wave,16000,i16,5.0,2,80000,320000,0.0169,0.0156,0.0086,0.0151,0.0166,0.0190,0.0177,0.0079,0.0173,0.0189,
scipy,16000,i16,5.0,2,80000,320000,0.0202,0.0186,0.0109,0.0181,0.0196,0.0209,0.0194,0.0098,0.0190,0.0211,
torchaudio,16000,i16,5.0,2,80000,320000,3.8126,3.8041,0.0723,3.6893,3.9138,0.4325,0.2450,0.6012,0.2277,0.4012,
audio_samples,16000,i16,10.0,1,160000,320000,0.0123,0.0108,0.0075,0.0104,0.0141,0.0151,0.0142,0.0057,0.0139,0.0153,
librosa,16000,i16,10.0,1,160000,320000,0.0282,0.0255,0.0185,0.0246,0.0286,0.0306,0.0283,0.0158,0.0271,0.0310,
wave,16000,i16,10.0,1,160000,320000,0.0176,0.0162,0.0082,0.0157,0.0182,0.0190,0.0178,0.0086,0.0174,0.0195,
scipy,16000,i16,10.0,1,160000,320000,0.0201,0.0185,0.0116,0.0181,0.0195,0.0222,0.0199,0.0110,0.0188,0.0245,
torchaudio,16000,i16,10.0,1,160000,320000,2.2420,2.2131,0.1189,2.1032,2.3266,0.3707,0.3302,0.1190,0.3262,0.4308,
audio_samples,16000,i16,10.0,2,160000,640000,0.0179,0.0166,0.0088,0.0163,0.0171,0.0257,0.0242,0.0092,0.0239,0.0257,
librosa,16000,i16,10.0,2,160000,640000,0.0359,0.0333,0.0173,0.0317,0.0355,0.0586,0.0555,0.0228,0.0382,0.0751,
wave,16000,i16,10.0,2,160000,640000,0.0329,0.0310,0.0116,0.0298,0.0331,0.0313,0.0284,0.0128,0.0275,0.0339,
scipy,16000,i16,10.0,2,160000,640000,0.0371,0.0341,0.0198,0.0334,0.0364,0.0319,0.0296,0.0157,0.0288,0.0323,
torchaudio,16000,i16,10.0,2,160000,640000,4.0442,4.0139,0.1514,3.8226,4.1633,0.4963,0.4341,0.1938,0.4276,0.5343,
audio_samples,16000,i16,30.0,1,480000,960000,0.0305,0.0257,0.0250,0.0241,0.0307,0.0397,0.0368,0.0111,0.0350,0.0428,
librosa,16000,i16,30.0,1,480000,960000,0.0559,0.0484,0.0235,0.0442,0.0704,0.0641,0.0580,0.0326,0.0559,0.0691,
wave,16000,i16,30.0,1,480000,960000,0.0547,0.0519,0.0139,0.0511,0.0572,0.0448,0.0417,0.0145,0.0406,0.0476,
scipy,16000,i16,30.0,1,480000,960000,0.0582,0.0554,0.0166,0.0544,0.0591,0.0501,0.0450,0.0174,0.0430,0.0675,
torchaudio,16000,i16,30.0,1,480000,960000,2.9444,2.8480,0.2500,2.7676,3.2637,1.0477,0.9373,0.2315,0.9288,1.2544,
audio_samples,16000,i16,30.0,2,480000,1920000,0.0692,0.0641,0.0167,0.0630,0.0733,0.0858,0.0846,0.0166,0.0791,0.0882,
librosa,16000,i16,30.0,2,480000,1920000,0.0880,0.0827,0.0252,0.0806,0.0936,0.1048,0.0990,0.0283,0.0978,0.1095,
wave,16000,i16,30.0,2,480000,1920000,0.1417,0.1426,0.0305,0.1212,0.1453,0.0902,0.0857,0.0204,0.0849,0.0931,
scipy,16000,i16,30.0,2,480000,1920000,0.1414,0.1285,0.0380,0.1244,0.1622,0.0907,0.0856,0.0232,0.0836,0.0975,
torchaudio,16000,i16,30.0,2,480000,1920000,5.0009,4.8624,0.3749,4.5797,5.5317,1.3305,1.2262,0.1615,1.2037,1.5133,
audio_samples,16000,i16,60.0,1,960000,1920000,0.0733,0.0716,0.0198,0.0623,0.0737,0.0903,0.0830,0.0227,0.0774,0.1006,
librosa,16000,i16,60.0,1,960000,1920000,0.0950,0.0851,0.0317,0.0788,0.1171,0.1034,0.0968,0.0289,0.0934,0.1139,
wave,16000,i16,60.0,1,960000,1920000,0.1408,0.1371,0.0360,0.1161,0.1639,0.0930,0.0898,0.0255,0.0827,0.0967,
scipy,16000,i16,60.0,1,960000,1920000,0.1371,0.1261,0.0311,0.1206,0.1624,0.0974,0.0930,0.0246,0.0853,0.1073,
torchaudio,16000,i16,60.0,1,960000,1920000,3.8803,3.8439,0.1795,3.6687,4.0719,2.0753,1.8423,0.4933,1.8238,2.4497,
